dirty_lines,clean_lines
"During the plant and pathogen coevolution and the research in the past few decades, it well known that plant mount a two-layered innate immunity system to protect themselves avoid the damage by the pathogenic microorganism (Jones and Dangl, 2006), not except the rice.", Rice blast caused by the fungal pathogen <SPECIES> is one of the most destructive diseases in the rice production industry.
" The first layer of the immunity is based on recognize the pathogen associated molecular patterns (PAMP) by pattern recognition receptors (PRRs) and named PAMP- triggered immunity (PTI) (Liu et al., 2012a; Shimizu et al., 2010)."," The Rice and rice blast interaction has already become a model for the study of fungal plant disease systems (Liu and Wang, 2016)."
" In this layer, a series of defensive reactions will happen, like active oxygen burst and callose deposition(Lam, 2004), plant can effectively prevent most of pathogenic microorganism from make an incursion(Boller and Felix, 2009).", A thorough elucidation of the mechanisms of host resistance to rice blast will undoubtedly prove scientifically and economically invaluable.
" However, successful pathogenic microorganisms can deliver the evolved effectors into plant cells and inhibit PTI.",The past several decades of research have revealed the picture of an intricately coevolved plant-pathogen interaction.
" In turn, host also developed another system that can recognize the effectors of pathogen by resistance (R) proteins (Boller and He, 2009; Dou and Zhou, 2012; Liu et al., 2014), this is a second layer of plant immunity and called effector triggered immunity (ETI), accompanied by hypersensitive responses (HR)(Boller and Felix, 2009; Jones and Dangl, 2006).","  One of the most well-characterized features of this interaction is the two-layered system of innate immunity  plants use to protect themselves from pathogenic microorganisms (Jones and Dangl, 2006), and rice is no exception to this paradigm."
"During the past few decades the increasing results showed that small RNA (sRNAs) play an important role in the regulation of defense response in plants among plant and fungal interaction(Katiyar-Agarwal and Jin, 2010)."," The first layer of the immunity is based on the recognition of pathogen associated molecular patterns (PAMPs) by pattern recognition receptors (PRRs) at the plasma membrane to trigger “pattern-triggered immunity” (PTI) (Liu et al., 2012a; Shimizu et al., 2010)."
" SRNAs are a type of 20 – 30 nucleotide long and non-coding RNAs, which involved in regulation of gene expression through a process termed RNA silencing."," In this layer, a series of defensive physiological responses occur such as  the reactive oxygen species (ROS) burst and the deposition of callose at the cell wall(Lam, 2004)."
" RNA silencing either by DNA methylation or chromatin modification or by mRNA cleavage or translation inhibition (Baulcombe, 2004; Holoch and Moazed, 2015; Jones-Rhoades et al., 2006)."," Through PTI, plants can effectively prevent most potentially pathogenic microorganisms from making an incursion (Boller and Felix, 2009)."
" Based on the origin and function, plant sRNAs can be classified into major classes: small interfering RNA (siRNA) and microRNA (miRNA)."," However, most successful pathogenic microorganisms have evolved mechanisms to inhibit PTI, such as the intracellular secretion of effector proteins."
" Most miRNA are belong to 21- 24 nucleotide length and derived from RNA that have a base paired hairpin structures(Chen, 2009), however siRNA are derived from complementary long dsRNA(Xie et al., 2004)."," In turn, plant hosts have  developed a  series of resistance (R) proteins which can recognize pathogenic effectors and trigger a second layer of defense called “effector triggered immunity” (ETI) (Boller and He, 2009; Dou and Zhou, 2012; Liu et al., 2014), This second layer of plant immunity is almost always accompanied by the hypersensitive response (HR) phenotype (Boller and Felix, 2009; Jones and Dangl, 2006)."
" In planta, both Dicer-like proteins (DCLs), HUA ENHANCER 1 (HEN1), HYPONASTIC LEAVES 1 (HYL1) and Serrate (SE) are participated in the biogenesis pathways of sRNA(Holoch and Moazed, 2015; Katiyar-Agarwal and Jin, 2010; Rogers and Chen, 2013).","Over the past few decades, several lines of evidence have indicated that small RNA (sRNAs) play an important role in the regulation of plant defense responses against fungal pathogens (Katiyar-Agarwal and Jin, 2010)."
" After process, double stranded sRNA are sorted and loaded into Argonaute proteins, then the passenger strand is drop-off(Liu and Paroo, 2010), then form RNA induced silencing complex (RISC)(Baumberger and Baulcombe, 2005; Rogers and Chen, 2013)."," sRNAs are 20 – 30 nucleotide long non-coding RNAs, which are involved in regulation of gene expression through a process termed RNA silencing."
" Both of the siRNA and miRNA are involution in the response to abiotic and biotic stresses and in regulation of variety biological process include growth and development, reproduction (Chen, 2012; Katiyar-Agarwal and Jin, 2010; Khraiwesh et al., 2012)."," RNA silencing can occur either pre-transcriptionally through DNA methylation or chromatin modification, or post-transcriptionally by mRNA cleavage or translation inhibition (Baulcombe, 2004; Holoch and Moazed, 2015; Jones-Rhoades et al., 2006)."
" Up to now, more than 38000 miRNAs are included in miRBase (http://www.mirbase.org/index.shtml)."," Based on their origin and function, plant sRNAs can be classified into two major classes: small interfering RNAs (siRNA) and microRNAs (miRNA)."
 The first discovered resistance related miRNA in plant is Ath-miR393.," Most miRNA are 21-24 nucleotides long and are derived from RNAs which once contained a  paired hairpin secondary structure (Chen, 2009)."
" This miRNA can induced by the pathogen associated molecular pattern (PAMP) molecule flg22 and enhance the resistance to virulent <SPECIES> DC3000 by silence the F-box auxin receptors and thus suppressing the auxin signaling(Navarro et al., 2006)."," By contrast, siRNAs are derived from complementary long dsRNAs (Xie et al., 2004)."
" Future study indicated that miR393 in rice is a stress related miRNA, which widely involved in abiotic and pathogens stresses (Bian et al., 2012; Campo et al., 2013; Xia et al., 2012)."," In planta, both Dicer-like proteins (DCLs), HUA ENHANCER 1 (HEN1) andHYPONASTIC LEAVES 1 (HYL1) participate with the Serrate (SE) family of proteins  in the biogenesis of sRNA (Holoch and Moazed, 2015; Katiyar-Agarwal and Jin, 2010; Rogers and Chen, 2013)."
" Other 16 miRNAs, including miR160a are induced by flg22 treatment."," After processing, double stranded sRNA are sorted and loaded into Argonaute proteins(Liu and Paroo, 2010)."
" In contrast, other 11 miRNAs, including miR398b and miR773 are down regulated by flg22 treatment(Li et al., 2010a)."," This forms the RNA induced silencing complex (RISC) (Baumberger and Baulcombe, 2005; Rogers and Chen, 2013)."
" Overexpression of miR773 and miR398b were suppressed the callose deposition by flg22 or bacteria treatment(Li et al., 2010a)."," siRNA and miRNA are involved in the  response to both abiotic and biotic stresses, andregulate of variety biological process including growth, development, and reproduction (Chen, 2012; Katiyar-Agarwal and Jin, 2010; Khraiwesh et al., 2012)."
" In bacterial defending, an interesting studying about miR863-3p is that the miRNA can target both immunity positive regulator and negative regulator by fun turning on amplitude and timing.",      The first resistance related miRNA to be discovered in plants was Ath-miR393.
" The miR863-3p negatively regulated a typical receptor-like pseudokinase1 (ARLPK1), ARLPK2 and SE gene at the early infection and later infection, respectively(Niu et al., 2016)."," This miRNA can induced by the PAMP  flg22, and it functions to enhance host resistance to virulent Pseudomonas syringae DC3000 by silencing auxin receptors and thereby suppressing auxin signaling (Navarro et al., 2006)."
" MiRNAs are not only contribute to PTI, but also contribute to ETI by regulating the plant defense relative resistance genes and directly regulating R genes."," Subsequently, studies indicated that miR393 in rice is a stress related miRNA, which is broadly involved in abiotic and biotic stresses (Bian et al., 2012; Campo et al., 2013; Xia et al., 2012)."
" For example, SNC1 as a R genes was up regulated in ago1 and dcl4 mutants(Yi and Richards, 2007)."," Another 16 miRNAs, including miR160a are induced by flg22 treatment."
" The expression of miR482 is up regulated by Pst DC3000 but failed by Pst DC3000 hrcc-(Shivaprasad et al., 2012), future study revealed that miR482 in cotton target exceed 10% of R genes, when infected by pathogen <SPECIES>, miR482 was down regulated and R genes were up regulate in cotto n(Zhu et al., 2013)."," By contrast, a distinct set of 11 miRNAs, including miR398b and miR773, are down regulated by flg22 treatment (Li et al., 2010a)."
" In Arabidopsis, miR472 involved in both PTI and ETI by targets RPS5 R genes(Boccara et al., 2014)."," Overexpression of both miR773 and miR398b was demonstrated to suppress the induction of callose deposition by flg22 or bacteria treatment (Li et al., 2010a)."
Amount of miRNAs were involved in <SPECIES> and rice iteraction.,"      With regard to bacterial pathogens, an interesting study found that miR863-3p can target both positive and negative regulators of immunity  by fine tuning the amplitude and timing of their expression."
" MiR528 and miR1879 were down regulated when treatment with rice blast, and lead to up regulation of control oxidative stress genes (Baldrich et al., 2015)."," miR863-3p negatively regulated an atypical receptor-like pseudokinase1 (ARLPK1) called ARLPK2 and SE at the early and late infection timepoints, respectively (Niu et al., 2016)."
" Alike miR393b and miR156, both of them were down regulated by rice blast treatment(Campo et al., 2013)."," miRNAs not only contribute to PTI, but they also contribute to ETI by regulating the plant defense-related genes and even through the direct regulation of R genes."
" In addition, miR7695 worked as a positive regulator against rice blast though down regulate Natural resistance-associated macrophage protein 6 (Nramp6)(Campo et al., 2013)."," For example, SNC1  was up regulated in ago1 and dcl4 mutants[2] (Yi and Richards, 2007)."
" The latest study identi?ed that miR169 work as a negative regulator against the blast fungal <SPECIES> by repressing expression of its target genes that belong to the NF-YA family (Li et al., 2017)."," Further, while the expression of miR482 is up regulated by Pst DC3000,  the Pst DC3000 hrcc- mutant failed to induce this upregulation (Shivaprasad et al., 2012), indicating that intracellular effectors likely influence this miRNA’s expression."
" MiR166k/miR166h, belong to miR166 family that functions as a positive regulator against <SPECIES>(Salvador-Guirao et al., 2018).", It was later revealed that the various targets of miR482 in cotton exceeds 10% of R genes.
" In the previous study, we identified exceed 30 miRNAs that involute in rice immunity of that against <SPECIES> (Li et al., 2014)."," However, when infected by the fungal pathogen Verticillium dahliae, miR482 was significantly downregulated leading to a corresponding upregulation of its target R genes (Zhu et al., 2013)."
" In this group miRNAs, miR167d was greatly differently accumulated in resistant materials and sensitive materials after infected <SPECIES>.",      Several miRNAs have been implicated in the interaction between rice and <SPECIES>.
"Based on the analysis the miR167 sequence and phylogenetic relationships assay, the result indicted that all the miR167-5p don’t show variation."," For example, the host miRNAs miR528 and miR1879 were downregulated when treated with rice blast, leading to the upregulation of  oxidative stress genes (Baldrich et al., 2015)."
" But, the miR167-3p was opposite, shows higher variability(De-la-Peña et al., 2017)."," Similarly, miR393b and miR156 were both downregulated by rice blast treatment (Campo et al., 2013)."
" Based on the previously study, Overexpression of miR167 in Arabidopsis led to inhibited somatic embryo (SE) formation by reducing the auxin response factor 6 (ARF6) and ARF8 expression(Su et al., 2016)."," In addition, miR7695 worked as a susceptibility factor  against rice blast through the downregulation of Natural resistance-associated macrophage protein 6 (Nramp6) (Campo et al., 2013)."
 ARF6 and ARF8 are the target of miR167 that regulate Arabidopsis adventitious rooting.," Very recently it was revealed that miR169 works as a negative regulator against the blast fungal <SPECIES> by repressing the expression of its target genes  in the NF-YA family (Li et al., 2017)."
" Whereas, ARF17 is a target of miR160 and acts as a negative regulator.(Gutierrez et al., 2009; Gutierrez et al., 2012).","Two miRNAs, miR166k/miR166h, belong to miR166 family which functions as a positive regulator agains[3]t <SPECIES> (Salvador-Guirao et al., 2018)."
" Meanwhile, ARF6 and ARF8 also regulate gynoecium and stamen maturation, and promote jasmonic acid (JA) production."," In the previous study, we identified exceed 30 miRNAs that regulate rice immunity to <SPECIES> (Li et al., 2014)."
" In the arf6 and arf8 double mutants, the flowers are abnormal growth and numbers of development-related genes reduce expression (Nagpal et al., 2005; Wu et al., 2006)."," In this group miRNAs, miR167d showed significant differences in accumulation in resistant cultivars relative to susceptible cultivars infected by <SPECIES>."
To investigate the role of miR167d in rice immunity against <SPECIES>.," Therefore, further investigations into the possible immune regulatory roles of miR167d  are clearly warranted."
" First, we examined the expression pattern in susceptible material LTH and the resistant material IRBLkm-Ts by inoculate <SPECIES> strain Guy11.","      Based on the sequence analysis the miR167 sequence and phylogenetic relationships assay, the result indicated that all the miR167-5p [4]don’t show variation."
" Then, we obtained the overexpressing transgenic rice lines of miR167d and its target mimicry (MIM167d), following by exam the miR167d target genes expression in transgenic lines and in susceptible/resistant materials."," But, the miR167-3p was opposite, shows higher variabilit[5]y(De-la-Peña et al., 2017)."
 We predicted that the ARFs and candidate R gene might act as a positive regulators in rice immunity.," Previously, overexpression of miR167 in Arabidopsis was demonstrated to inhibit somatic embryogenesis (SE)  by reducing the expression of auxin response factor 6 (ARF6) and ARF8  (Su et al., 2016)."
"All the plants used in this research include: a susceptible line LTH and a resistant monogenic line IRBLkm-Ts, the indica accession Kasalath was used for genetic transformation, and the transgenic lines overexpressing miR167d and mimicry of miR167d ware also in the background of Kasalath.", ARF6 and ARF8 are both miR167 targets which regulate adventitious root development in Arabidopsis.
 All these rice plants were planted in an artificial climate chamber at 26? and 80% humidity under the 12 hours light and 12 hours dark conditions.," By contrast, ARF17 is a target of miR160, and acts as a negative regulator of adventitious root formation in Arabidopsis (Gutierrez et al., 2009; Gutierrez et al., 2012)."
"To generate over-expression transgenic plants, genomic sequences from 470 bp upstream to 529bp downstream of osa-miR167d was amplified from Kasalath (KAS) total genomic DNA with primers miR167d-kpn1-F and miR167d-spe1-R (Supplementary Table 1), and the PCR products was cloned into the binary vector 35S-pCAMBIA1300 at KpnI and SalI sites, generating in the overexpression construct, named p35S:miR167d."," Meanwhile, ARF6 and ARF8 also regulate gynoecium and stamen maturation, and promote jasmonic acid (JA) production."
" To generate target mimicry transgenic plants, we utilized the gene IPS1 (INDUCED BY PHOSPHATE STARVATION1) in Arabidopsis that as a skeletal structure, this gene contains a mismatched loop at the miR399 cleavage site."," In the arf6 arf8 double mutant, there is an abnormal floral development phenotype and several development-related genes are reduced in expression (Nagpal et al., 2005; Wu et al., 2006)."
" Therefore, target mimicry sequence of miR167d was inserted into IPS1 gene to substitute the miR399 target site with primers IPS1-KpnI-F, IPS1-SpeI-R, MIM167d-IPS1-BamHI/Bgl?-F and MIM167d-IPS1-BamHI/Bgl?-R by overlap PCR (Supplementary Table 1), and cloned into the 35S-pCAMBIA1300 vector at the KpnI and SalI site, generating in the mimicry construct, named p35S:MIM167d.",To investigate the role of miR167d in rice immunity against <SPECIES> we examined the expression pattern in the susceptible cultivar  LTH and the resistant cultivar IRBLkm-Ts by inoculating both with the <SPECIES> strain Guy11.
" Both of these two construct were transformed into Kasalath background via Agrobacterium strain GV3101 mediated transformation and all the transgenic plants were screened by the solution contained 0.1 mM 6-BA and 30 mg/L hygromycin as previously described(Li et al., 2014)."," Next, we obtained  transgenic rice lines overexpressing miR167d and its target mimic (MIM167d)."
" Finally, we obtained 23 overexpression lines of p35S:miR167d (named OX167d) and 15 mimicry lines of p35S:MIM167d (named MIM167d).",  After examining the expression of the target genes of miR167d in transgenic lines and in both the susceptible and resistant cultivars .
" In order to confirm that the miR167d repress the target gene, we expressed the target sequence from the target gene tagged by eYFP, the target sequence of Os4g57610 was obtained using the gene specific primers (Supplementary Table S1), we also designed a mutant sequence based on the target sequence and acted as a control.", We predicted that the target ARFs and candidate R genes might act as positive regulators in rice immunity.
 All the fragments were fused to N-terminus of eYFP and inserted into Kpn? site of binary vector Pcambia1300.,The plants used in this research include: a susceptible line (LTH) and a resistant monogenic line (IRBLkm-Ts).
" Then Agrobacterium strain GV3101 was used as a transient expression assay in <SPECIES>(Huang et al., 2014)."," The indica accession Kasalath was used for genetic transformation, and the transgenic lines overexpressing miR167d and its mimic (miR167d) were also in the Kasalath background."
"In this study, we used four <SPECIES> strains, Zhong8-10-14(GFP), Guy11, NC-10 and NC-34.", All these lines were planted in an climate controlled growth chamber at 26? and 80% humidity with a 12 hours light/dark cycle.
 All these <SPECIES> stains were put at 28? in complete medium under the 12 h light and 12 h dark condition for make spores.,To generate transgenic plants overexpressing the miRNAs of interest the following procedures were followed.
" After two weeks, collected the spores and adjusted the concentration to 5*105 spores per ml for spray inoculation and punch inoculation on the seeding with three leaves."," The genomic sequences from 470 bp upstream to 529bp downstream of osa-miR167d were amplified from Kasalath (KAS) total genomic DNA with primers miR167d-kpn1-F and miR167d-spe1-R (Supplementary Table 1), and the PCR products were cloned into the binary vector 35S-pCAMBIA1300 at KpnI and SalI sites, generating the overexpression construct, designated p35S:miR167d."
" T3 generation seeding of miR167d and MIM167d transgenic lines were used for spray inoculation, at the fifth day after inoculation, the relative fungal biomass was detected using the DNA level of Pot2 in <SPECIES> compare with the rice ubiquitin DNA level by qRT-PCR and the disease phenotypes were recorded on the leaves, meanwhile wild type plant Kasalath were used as control."," To generate target mimicry transgenic plants, we utilized the gene IPS1 (INDUCED BY PHOSPHATE STARVATION1) in Arabidopsis as a skeletal structure."
" For punch inoculation, leaves from 3 weeks old transgenic plants were slightly punched with tips and dropped 5 µL spore suspension (5*105 spores per ml) to the wound."," This gene contains a mismatched loop at the miR399 cleavage site, and therefore the target mimic sequence of miR167d was inserted into the IPS1 gene to substitute the miR399 target site with primers IPS1-KpnI-F, IPS1-SpeI-R, MIM167d-IPS1-BamHI/Bgl?-F and MIM167d-IPS1-BamHI/Bgl?-R by overlapping PCR (Supplementary Table 1), and cloned into the 35S-pCAMBIA1300 vector at the KpnI and SalI site, generating in the mimicry construct, designated p35S:MIM167d."
 Disease spot was recorded at 5dpi.," Both of these constructs were transformed into the Kasalath background via Agrobacterium strain GV3101 mediated transformation, and all the transgenic plants were screened  by hygromycin resistance using a solution containing 0.1 mM 6-BA and 30 mg/L hygromycin as previously described (Li et al., 2014)."
" In order to observe the infection process of the rice blast, GFP tagged <SPECIES> strain Zhong8-10-14 was used, injected the spore suspension to the leaf sheaths as described previously(Li et al., 2017), put the leaf sheaths in the petri dish and keep high moisture, then excised the leaf sheaths from the inoculated leaf sheaths and analyzed by Zeiss fluorescence microscope (Zeiss imager A2) at 2, 12, 24, 36, 48 hpi, respectively."," Finally, we obtained 23 overexpression lines of p35S:miR167d (named OX167d) and 15 mimicry lines of p35S:MIM167d (named MIM167d)."
"The seeding with three leaves were sprayed with the <SPECIES> spore suspensions (5*105 spores per ml) and sprayed the H2O as mock, then collected the samples at 0, 12, 24, 48 hpi, Kasalath act as a control for miR167d and MIM167d transgenic plants."," In order to confirm that miR167d represses the target gene as expected, we expressed the target sequence from the target gene tagged by eYFP."
" For target gene expression level examination, Kasalath also used as a control.", The target sequence of Os4g57610 was obtained using the gene specific primers (Supplementary Table S1).
" Total plants RNA was extracted using TRIzol (Invitrogen) from the samples, flowing by reverse first strain cDNA using ReverTra Ace® qPCR RT Master Mix with gDNA Remover (TOYOBO).", We also designed a mutant sequence based on the target sequence to act as a control.
" To test the miRNA level of miR167d, using miScript Plant RT Kit and miScript SYBR® Green PCR Kit (Invitrogen) and based on the manufacturer’s instructions.", All the fragments were fused to N-terminus of eYFP and inserted into the KpnI site of the binary vector pCAMBIA1300.
" qRT-PCR was carried out using specific primers (Supplementary Table 1 ) and QuantiTect SYBR® Green PCR Kits (Invitrogen), snRNA U6 used as internal reference for detection miR167d level."," Additionally, the Agrobacterium strain GV3101 was used to perform transient expression assays in <SPECIES>(Huang et al., 2014)."
 All this dates are determined by a one-way ANOVA.,"In this study, we used four <SPECIES> strains, Zhong8-10-14(GFP), Guy11, NC-10 and NC-34."
" To detect the JA content, enzyme-linked immunosorbent assay (ELISA) was carried out as previously reported (Liao et al., 2018; Teng et al., 2006)."," To make spores, each <SPECIES> strain was grown at 28? in complete medium under  a 12 hour light/dark cycle."
"The expression plasmids were transferred to Agrobacterium strain GV3101, then incubated on the sold LB media contained kanamycin (50 µg/mL), rifampin (50 µg/mL) and  at 28? for two days, selected monoclonal colony to liquid LB media also contained the corresponding antibiotics and incubated at 28?for overnight, collected the bacteria using the centrifuge at 4000rpm for 5 min and re-suspended in a solution containing 10 mM MgCl2, 10 mM MES, 100 µM acetosyringone."," After two weeks, spores were collected adjusted to a concentration of  5*105 spores/ml for spray inoculation and punch inoculation on juvenile rice (3 leaf stage)."
 The Agrobacteria contain the expression plasmid were injected into <SPECIES> leaves for transient expression analysis., The T3 generation seedlings of miR167d and MIM167d transgenic lines were used for spray inoculation.
"To determine whether miR167d is differentially expression after infected <SPECIES>, we preformed the qRT-PCR assay to examine the expression pattern in susceptible line LTH and a resistant monogenic line IRBLkm-Ts that contains the R gene Pi-km and high resistance to <SPECIES>(Tsunematsu et al., 2000; Zhi-Xue et al., 2017)."," At the fifth day after inoculation, the relative fungal biomass was measured using using the DNA amount of Pot2 in <SPECIES> relative to the rice ubiquitin DNA amount measured by qRT-PCR."
" LTH was used as a susceptible reference, because no major R gene for <SPECIES> has been identified in LTH and highly susceptible to rice blast(Tsunematsu et al., 2000)."," Foliar disease phenotypes were recorded, and the wild type Kasalath lines were used as control."
" Firstly, we confirmed the resistance phenotypes in LTH and IRBLkm-Ts by inoculating the <SPECIES> strain Guy11 on the seeding of three leaves."," For punch inoculation, leaves from 3 weeks old transgenic plants were slightly punched with tips and before 5 µL of spore suspension (5*105 spores per ml) was dropped onto the wound."
" LTH showed a highly susceptible phenotype, but IRBLkm-Ts was more resistance and only few small lesions were found (Figure 1A).", Disease spot progression was recorded at 5dpi.
 Then followed by time course assay to check the expression of miR167d in LTH and IRBLkm-Ts by using qRT-PCR.," In order to observe the infection process of rice blast, a GFP tagged <SPECIES> strain Zhong8-10-14 spores suspension was injected into the leaf sheaths as described previously (Li et al., 2017)."
" The result showed that miR167d was reduced expression at the 12 and 24 hpi, higher at 48 hpi in LTH."," Subsequently, the leaf sheaths were placed in petri dishes to retain moisture and excised for microscopy and analysis by Zeiss fluorescence microscope  (Zeiss imager A2) at 2, 12, 24, 36, 48 hpi, respectively."
" However, miR167d was reduced expression at 12, 24 and 48 hpi in IRBLkm-Ts (Figure 1B).",Juvenile rice seedlings at the three leaf stage were sprayed with the <SPECIES> spore suspension spore suspension (5*105 spores per ml).
"As miR167d was effected by <SPECIES>, thus it is response to study the integrative role of miR167d in rice against rice blast.", Water was used as a mock in this spray inoculation.
" Although some of the target genes of miR167d belongs to ARFs family, and in the previous research, ARFs effected the growth and develop of plant, maybe AUXIN also have the relevant to rice immunity."," Samples were collected at 0, 12, 24, 48 hpi, and Kasalath acted as a control for miR167d and MIM167d transgenic plants."
" In this station, we constructed the rice transgenic plants that overexpression miR167d in the Kasalath background."," For target gene expression level examination, Kasalath was also used as a wild-type control."
" Finally, we identified two independent lines that have a high miR167d accumulation and used for resistance analysis (Figure 2C).", Total plant RNA was extracted using TRIzol (Invitrogen) kits.
 The seeding with three leaves were used and separately spray with three different <SPECIES> strains with the different virulent., cDNA was produced using ReverTra Ace® qPCR RT Master Mix with gDNA Remover (TOYOBO).
" While NC-34 and NC-10 are the high pathogenicity strains to Kasalath, Guy11 is a little weak virulent strains to Kasalath."," To test the miRNA level of miR167d, we used the miScript Plant RT Kit and the miScript SYBR® Green PCR Kit (Invitrogen) based on the manufacturer’s instructions."
 The disease phenotypes were collected at 5 days after inoculate., qRT-PCR was carried out using specific primers (Supplementary Table 1 ) and QuantiTect SYBR® Green PCR Kits (Invitrogen).
" As our respected, the overexpression lines showed more and larger disease lesion compare with the control plants by using NC-34 <SPECIES> strain with two different methods (Figure 2A), it indicating that more susceptibility by overexpression the miR167d.", snRNA U6 used as internal reference for detection of the miR167d level.
" Where after, the fungal growth were performed by quantitative analysis.", All data was analyzed by a one-way ANOVA.
 Then the fungal growth was higher compare with control plants (Figure 2B).," To detect the JA content, enzyme-linked immunosorbent assays (ELISAs) were carried out as previously reported (Liao et al., 2018; Teng et al., 2006)."
" After that, we used another method to detected the resistant, as showed in Figure 2D and E, the lesion is bigger and fungal growth was higher compare with the control plant by using the paunch menthes.","The expression plasmids were transferred to Agrobacterium strain GV3101, then incubated on  solid LB media containing kanamycin (50 µg/mL) and/or rifampicin (50 µg/mL)  at 28? for two days."
 Then we check another <SPECIES> strains Guy11 and NC-10.," Single colonies were transferred to liquid LB media also containing the corresponding antibiotics and incubated at 28°C overnight.Bacteria were harvested by centrifugation at 4000rpm for 5 min and re-suspended in a solution containing 10 mM MgCl2, 10 mM MES, and 100 µM acetosyringone."
" As the same result, when inoculated with NC-10 in was showed more susceptible phenotype (Figure S1A), and the fungal growth was higher than control plant (Figure S1A).", The Agrobacterium containing the expression plasmid were injected into <SPECIES>leaves for transient expression analysis.
" We got the same result that inoculated the Guy11 (Figure S1C, D)."," The injected leaves were examined at 48 hpi using confocal microscopy (Nikon A1) as previously reported (Huang et al., 2014)."
 These date demonstrate that overexpressing miR167d led the susceptibility to the <SPECIES> in Kasalath.," Simultaneously, a western blot assay was performed as previously described (Li et al., 2017)."
"To investigate why overexpression of the miR167d result in more susceptibility, we examined expression levels of some typical defense related genes, and cell death related genes, and also used the microscopic to analysis the infection process of <SPECIES>."," Briefly, protein from 100 mg fresh leaves was extracted  in extraction buffer containing 0.25 M Tris-HCL (pH6.8), 4% SDS, 0.1% Bromophenol blue, and 40% glycerol."
" Firstly, seedlings with three leaves were used to examine the defense related genes by qRT-PCR, including KS4, PAL, NAC4, PR1a, PBZ1 and PR10b."," The total protein was separated by 12% SDS-PAGE, and transferred to a PVDF membrane (Millipore) using Trans-Blot Turbo (BIO-RAD)."
" KS4 takes part in the phytoalexins momilactones A and B biosynthesis, NAC4 is involved in plant cell death and higher expression in spl11 at the lesion forming period(Yin et al., 2000), and it also act as a basal defense gene which can be earlier induced (Park et al., 2012).","To determine whether miR167d was differentially expressed after infection <SPECIES>, we performed qRT-PCR  to examine the expression pattern in the susceptible line LTH and the resistant monogenic line IRBLkm-Ts containing the R gene Pi-km and relative resistance to <SPECIES> (Tsunematsu et al., 2000; Zhi-Xue et al., 2017)."
" PBZ1, PR1a and PR10b were pathogenesis genes (Shirsekar et al., 2014)."," LTH was used as a susceptible reference because no major R gene for <SPECIES> has been identified in LTH and highly susceptible to rice blast (Tsunematsu et al., 2000)."
" PAL is involved in phenylpropanoid pathway and PAL pathway is important for SA biosynthesis(Chen et al., 2009).", We confirmed the resistance phenotypes in LTH and IRBLkm-Ts by inoculating the <SPECIES> strain Guy11 on the seedling of three leaves.
